category,cv_text
Agriculture,agriculture manager resume template agriculture manager posses knowledge modern day technology used agriculture hands experience technical gadgets related agriculture always play added advantage agriculture manager expected support logistic requirements product placements required career objective utilize experience skills agriculture manager contribute growth company james keith 1234 mapel dr ashville pa 123 4575890 jknomailcom professional forte possess strong verbal written skills knowledge plant anatomy various plant transplant methods well experienced maintaining nurseries excellent budgeting negotiating skills good knowledge application insecticide fertilizers fungicides excellent using hand mower power mower ability work rural areas without hassle excellent leadership skills professional experience
Agriculture,susan stanningley agricultural engineer 0777777777sstanningleyemailcom chelmsford linkedin professional profile versatile agriculture engineer 12 years experience specialising precision farming techniques sustainable land management across arable crop farms essex skilled overseeing daytoday operations sizable agricultural estates harnessing expertise crop husbandry soil health precision farming techniques holds bachelors degree agricultural engineering demonstrating track record mitigating crop spoilage enhancing farm profitability effective crop rotation sustainable farming methods core skills precision farming technology land optimisation irrigation systems career summary nov 2017 present outline farmtech ltd chelmsford agricultural engineer crop health management agricultural automation soil analysis management work market leading agriculture consultancy based chelmsford collaborating local farmers integrate precision farming techniques increase crop yield key responsibilities develop manage integration precision farming technologies gpsguided machinery dronebased sensors realtime crop monitoring analysis conduct indepth soil analysis interpret data recommend implement precise fertilisation irrigation strategies optimal crop health yield collaborate agricultural scientists agronomists develop sustainable farming practices innovate implement irrigation systems minimising wastage using smart water management train mentor junior engineers deployment management precision farming systems conduct regular field assessments monitor crop health identify factors impacting plant growth participate industry conferences maintain uptodate understanding trends new technologies work software developers customise integrate agricultural management software efficient data analysis key achievements implemented precision irrigation system 50acre wheat farm resulting 40 reduction water usage 25 increase crop yield due efficient water distribution soil moisture management designed executed crop swapping program 2021 8 regional farms reduced crop spoilage 20 boosted farm revenue average 15 within single harvest season page 1
Agriculture,experience education skills caleb boehm 738 carter view detroit mi phone 1 555 887 3951 agricultural connectivity validation test engineer boston 022016 present provide insight vehicle level use software functions part cross functional development team interface directly support groups internal customers engineering marketing platform part development team develop detailed system subsystem test procedures functional performance safety tests related telematics precision farming guidance content based engineering specifications develop detailed system test procedures functional performance safety tests related telematics connectivity content based engineering specifications aid design team development telematics connectivity web portal pst software harvesting machines act product validation representative embedded product engineering software development team telematics connectivity pst report back status telematics software development pst product validation team agricultural guidance validation test engineer boston 112011 102015 develop detailed system subsystem test procedures functional performance safety tests related auto guidance precision farming telematics content based engineering specifications document results test including issue reporting proper tracking tools maintain update issues resolved interface effectively support groups internal customers engineering marketing platform etc aid design team tuning exercises machine auto guidance features pst software agricultural machines develop execute experiments validate qualify new design solutions generate lab data good lab practice glp protocols product development characterization collaborate various teams solve technical problems identify improvement opportunities agricultural engineer san francisco ca 122006 102011 design modify construct small scale product application devices product performance evaluation process analyze data report results defined lab report formats qualified candidate document results tests including issue reporting proper tracking tools maintain update issues resolved professional meetings conferences work related travel occasional travel ohio state university bachelors degree engineering technology advanced computer skills working knowledge operating platforms used development windows etc ability communicate levels organization ability teach instruct others equipment operations processes advanced knowledge electrical diagrams mechanical drawings understanding ladder logic programming used development control systems selfmotivated selfstarter mechanicalelectrical design drafting abilities using cad software
Agriculture,farm worker resume james avery 1434 spadafore drive erie pa 16501 3337056359 javeryemailaddresscom job objective seeking farm worker position quality company use skills help improve business whole enhancing career highlights qualifications profound knowledge farm work practical farm operations huge knowledge care livestock poultry sample solid understanding service requirements plows cultivators ability operate highly specialized combine harvesters proficient complicated hydraulic electrical systems ability follow supervisors instructions handled farm equipment ability care farm animals ability maintain sanitary living quarters animals professional experience farm worker webers farm erie pa february 2005 present esume handled specialized combine harvesters monitored field recognize harvesting conditions maintained functions harvesters handled harvesting managed maintenance combine harvesters conducted routine maintenance emergency repair harvesters farm worker garber farms erie pa august 2000 january 2005 handled historical research formulated historical reports aided providing care administration farm lands equipment assisted staff monitored activities undertaken safely managed maintenance buildings implements exhibits education high school diploma tremont high school tremont il
Agriculture,jerrold marvin 67311 kunze parks new york ny phone 1 555 835 8584 experience powlowski group san francisco ca agricultural valid code eb drivers license essential proficiency verbal written communication 112018 present experience operation maintenance variety diesel gasoline powered farm equipment safe use electrical hand operated shop tools flexibility work odd hours weekends experience repairing maintaining hydraulic systems electrical systems brake systems small engines various mechanical electronic systems found farm equipment vehicles research equipment experience operating gas arc welding equipment ziemetoy san francisco ca agricultural knowledge data collection reporting selfstarter good interpersonal skills talking writing reasoning 092013 102018 vocational training safe proper use pesticides would highly desirable valid drivers license permit incumbent operate automobiles pickup trucks farm trucks 24000 gvw standard automatic transmissions employed certified capable willing certified apply restricteduse pesticides crops electrical experience certifications education parsons new school design bachelors education skills use computer word processing programs email spreadsheet programs knowledge agricultural field research laboratory work deliver exceptional service every interaction execute plans continuously improve customer experience actively use carma sales build robust understanding customerstargets needs industries markets collaboratively work business banking retail banking ensure agriculture services customers serviced channel best suited meeting requirements embrace promote positive environment supports diverse workplace
Apparel,experience 022020 present 112014 102019 addie larkin 325 eddie villages los angeles ca phone 1 555 252 7321 strosinhoeger apparel buyer philadelphia pa 03 years related work experience strongly preferred talent worked developing apparel work necessary eveningweekend hours specific shows guest appearances analyze data draw relevant conclusions positive effects business work others dynamic team environment access enter information using automated systems eg windows based computer quickly accurately lead office function absence buyer perform duties according company policies procedures latitude independent judgment initiative make decisions achieve desired results product development experience plus kertzmann group apparel buyer philadelphia pa create achievable deadlines team hold members accountable timely delivery includes partnering team cross functional partners roadblocks barriers arise act voice consumer brand steward internal meetings provide guidance insight direction needed deliver vision mission br participate market trips stores assess monitor performance customer satisfaction solicit feedback rvps dms store managers challenging appropriate stay connected peers visual merchandising marketing ecommerce collaborate customer touchpoints ensure deliverables site actions tell story drive consumer engagement brand enhance product offerings challenge status quo asking tough questions broader team ensure category performance maximized education skills columbus college art design bachelors business establish strategic staffing succession plans 02year horizon within span control gain leadership support successfully deliver proposed staffing objectives drive talent selection process alignment companys talent philosophy open positions includes reviewing resumes interviewing making hiring decisions identify brands product represent customers needs negotiate build source compelling product assortments best value independently drives sales selection product pricing promotion greatest return investment negotiate buying terms vendors price quantity delivery payment terms oversee facilitation execution event assistant buyer buying responsibility financial accountability respective buying category remain flexible willing change strategies business needs dictate
Apparel,georgina dubuque information address 103 fernando station philadelphia pa phone 1 555 483 9578 experience 022018 present chicago il hamill group associate apparel designer position may perform variety tasks related graphic design based experience level conceptualize design solutions concept completion assistance guidance senior designerart director necessary apparel collateral designlayout licensedbranded materials designlayout 112011122017 chicago il rutherford torphy lindgren apparel designer lead execution innovative product design development aimed continuous design innovation achieving set goals direction teamheadcreative director independently integrate product technical developments product design education school art institute chicago bachelors design skills ensure quality products design content order reinforce strengthen brand position generate consumer dem work experience designing one leading fashionlifestylesports br
Apparel,fashion designer kina lane city state 0000000000 emailemailcom skills operating systems microsoft windows mac os x programs office suite adobe creative suite summary passionate towards work includes designing pattern making stitching fashion illustrations printing surface development creative person versatile skills best output always ready play color shapes main objective put best effort endeavor fashion industry work history fashion india fashion designer 201605 present stylistic design womans clothing line nina aghen trends material research planning models placed print sketches drawings development plates technical data sheets colour charts work field communication supervision respect every phase production management relationships suppliers contractors assistance pattern makers development prototypes fitting direct dialogue clothing manufacturers quality control cutting packaging customer service showroom office style assistance shootings wings 2 fashion fashion designer stylistic research trends materials 201604 201404 designed underwear beachwear homeward collections woman man child designed trend books mood boards various tablet woman man child different age groups fair interfili paris creation sketches various artistic techniques design patterns prints models array clothing 201108 201403 technical skills fashion designer macbook ms word adobe photoshop easily operate window drawing skill doodling illustration calligraphy promoted new fashion coordinated promotional activities fashion shows created original designs proto approvals sources trends fabrics dealt manufacturers regarding production skilled wardrobe stylist indian fabric wholesale assistant designer constructed tech packs designed logos using illustrator photoshop sketched garments constructed clothing assisted specking garments sourced fabric researched fashion trends 201107200904 hobbies running swimming gym yoga painting drawing education lovely professional university bachelor fashion designing languages interests art english spanish french dining fashion current events traveling readingpoetry attending public events 2010
Apparel,janice walton phone 3492618950 email janicewaltongmailcom serviceminded teamfocused boutique facilitator 5 years experience luxury retail environment eager support house chanel topclass organizational skills providing highest standards service previous roles increased client facing time 30 facilitator year award experience 2016 present 2011 2013 boutique facilitator balenciaga boutique new york city ny delivered excellent customer service based company values including welcoming greeting clients analyzing needs offering solutions supported operations division maintaining stock order assisting cycle count activity opened closed cash registers assisted handling cash deposits answered phone calls ensure client issues resolved promptly professionally maintained highest professional standards deliver ultimate balenciaga experience client key achievements increased clientfacing time 30 thanks superior communication skills prestigious facilitator year award presented company management topscorers quarterly customer satisfaction surveys alterations specialist chlo store new york ny oversaw completion requested garment alterations within specified deadlines highest degree accuracy possible communicated alterations room workflow arising issues management team fashion advisors cooperated closely sales associates close sales loyalize customers provide clients topclass service professional advice contributed fostering company culture open communication crossfunctional collaboration key achievement sewed altered garments consistently conformed required specifications meeting 99 deadlines education 2011 skills bsc apparel merchandising colorado state university fort collins co luxury fashion merchandising conflict resolution client support communication teamwork organization problemsolving
Apparel,robert smith asst apparel manager infoqwikresumecom goaloriented individual strong leadership capabilities organized highly motivated detaildirected hard worker proven ability work unison staff general public may 2014 june 2015 asst apparel manager abc corporation operate cash register balancing cash drawers daily greet assist customers finding purchasing merchandise train supervise schedule employees order receive merchandise confirm customer satisfaction resolve problems purchases customer service make refunds returned merchandise send back warehouse design arrange price reduced new merchandise displays 20112014 apparel manager delta corporation responsible stocking organizing clothing accessories shoe dept place correct signage current sales promotions help customers selections questions might backup assistance registers customer service apparel manager charge team associates responsible maintaining visual standards merchandising making business decisions addition driving success department also responsible ensuring excellent customer service delivered credit absence store manager responsible daily store operations ensuring tasks completed timely accurate education bachelor accounting missouri state university springfield mo skills communication skills creativity interpersonal skills free resume templates copyright qwikresumecom usage guidelines
Architecture,lee tower architecture leetowersweetcvcom 19999999999 sweetcvcom linkedincomcompanysweetcv facebookcomsweetcven 5 years practical experience architectural design master building architectural industrial scale models expert project management certified caddautocad professional adobe certified associate skills autodesk autocad autodesk revit autodesk 3ds max adobe photoshop adobe illustrator adobe indesign grasshopper google sketchup vray rhino certifications autodesk certified professional 2017 adobe certified associate 2016 experience architect woods parker architects feb 2017 present new york ny responsible aspects projects including design redesign development production contract document drawing specifications projects college stadium conceptual architectural renovation college stadium incorporating existing structure marin harbor town homes working drawing technical details exterior interior rocky mountain college architectural working drawing structure working drawing details drawing site supervision intern architect stantec architecture ltd nov 2015 jan 2017 newark ny work summary red deer college life span center schematic design proposal inuvik regional health social services center 3d schematic model new holy spirit elementary school schematic design working dwg bank montreal working drawing information communication technology building working drawing construction dwg asbuilt dwg education bachelors degree architectural pratt institute ny mar 2011 jun 2015
Architecture,richard jones architect info address 9 wall st new york 10005 usa phone 8905550401 profile professional creative innovative architect 10 years experience provide bestfit architectural solutions 5 projects year average budget 10 million technology consultation assisting defining scope sizing work support opportunity identification pursuit processes essential parts role architect professional communication skills interact levels management clients email exampleemailcom dateplace birth 19892003 new york driving license full employment history senior architect equifax feb 2014 present new york architect creative innovative problemsolver primary focus realize vision clients nationality american links linkedin skills creative effective communication assist client review approval contractors submittals apply knowledge relevant international regulations regarding design projects perform operational support analysis assigned area participate development specifications policies procedures assigned area ensure architectural design work organized project staff apply engineering disciplines keeping clear frequent communication review projects ensure applicable codes standards procedures followed quality satisfactory provide oversight development required project scopes cost estimates construction contract purposes prepare estimates fees construction contracts reliable attention detail analyst innovative provide technical administrative guidance colleagues preparing construction drawings specifications seek new work marketing giving presentations prepares provide highlevel briefs senior leadership problemsolving hobbies reading walking cooking architect planate management group apr 2009 feb 2014 new york supervision senior architect created implemented 20 innovative highquality solutions per year led participated 3 sales projects per month projects budget 2 million met 2 potential clients month provide technical review oversight designbuild process new projects ensure designs within federal local codes concerning health safety environment real property facilities study recommends equipment design solutions various projects oversee various stages construction process troubleshoot multiple issues suggest solutions problems
Architecture,elina polianska architectdesigner education 2010 2012 complete secondary education kharkiv college construction architecture design involved volunteer work left college 2 years education without graduating 2012 masters degree architecture restoration kharkiv national university civil engineering architecture 2018 took part competitions conferences archaeological excavations chersonese crimea contact experience ukraine kharkivkyiv 2012 graphic designer linapolianskayagmailcom fitness club unifeht kharkiv 2014 380636842992 development corporate identity brand visual communication bef lina polianska languages ukrainian russian native english intermediate software skills archicad illustrator sketchup 2014 manager educational programs united fitness team ukraine 2018 2016 photoshop 2018 capabilities skills organization big city sports events coordination students educational courses cooperation teachers lecturers internship position architect buroo kyiv engaged development boyukshor lake rehabilitation north shore north interception lake baku azerbaijan worked group developed concept boyukshor residential district interior designer freelance development concept design professional team leadership project management photography personal personal promotions team play creative spirit organized 2015 budgeting planning purposeful client oriented time management took part competition tallin architecture bienalle selfdriving city 2013 took part architectural festival canactions kyiv 2018 report writing public relations branding pr fast learner 2016 1st place competition 2015 3 publications positive friendly rehabilitation building architect dnipro 2016 speeches conferences warsaw kharkiv poltava
Architecture,john hopkins landscape architect 18649809469 miami fl johnhopkinsgmailcom linkedincom summary experienced landscape architect passion sustainability wildlife preservation focused last 8 years life crafting highquality proposals clients executing timely manner experience landscape architect dream homes miami 2019 ongoing miami fl dream homes miami private design architecture company communicating clients daily basis leading team 4 junior colleagues creating 2d 3d proposals advising clients matters regarding wildlife conservation designing gardens clients living gated communities landscape architect harvard university 20142019 cambridge harvard university private ivy league university skills creativity problem solving adobe ps adobe illustrator urban design smartdraw communication skills planning time management teamwork autocad conflict management leadership project management worked team 7 landscape architects created sophisticated designs using autocad planned designs different occasions start academic year christmas holidays end academic year coordinated plans engineers sustainability experts discussed plans local community students teachers locals get better understanding needs junior sustainability consultant ledner group 20112012 boston ledner group one largest architecture companies boston supported senior sustainability consultants administrative tasks conducted research sustainability goals opportunities trends took extensive notes client meetings entirely responsible proper coordination activities assessed impact construction activities certification project management level iii project management institute 2018 un sustainable development goals expert coursera 2017 landscape architecture beginners academy arts 2011 education master landscape architecture harvard university graduate school design 20122014 cambridge bachelor sustainable community development university massachusetts amherst 20072011 amherst strengths creative problem solving whether problem linked lack space uncooperative team members im solve drawing attention im natural drawing attention important issues addressed quality landscape architecture goalgetter smashing goals clients team set wwwenhancvcom powered enhancu
